year,country,"Net bilateral aid flows from DAC donors, Australia (current US$)","Net bilateral aid flows from DAC donors, Austria (current US$)","Net bilateral aid flows from DAC donors, Belgium (current US$)","Net bilateral aid flows from DAC donors, Canada (current US$)","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","Net bilateral aid flows from DAC donors, Switzerland (current US$)","Net bilateral aid flows from DAC donors, Czechia (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, Denmark (current US$)","Net bilateral aid flows from DAC donors, Spain (current US$)","Net bilateral aid flows from DAC donors, Finland (current US$)","Net bilateral aid flows from DAC donors, France (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Greece (current US$)","Net bilateral aid flows from DAC donors, Hungary (current US$)","Net bilateral aid flows from DAC donors, Ireland (current US$)","Net bilateral aid flows from DAC donors, Iceland (current US$)","Net bilateral aid flows from DAC donors, Italy (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","Net bilateral aid flows from DAC donors, Netherlands (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, New Zealand (current US$)","Net bilateral aid flows from DAC donors, Poland (current US$)","Net bilateral aid flows from DAC donors, Portugal (current US$)","Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","Net bilateral aid flows from DAC donors, Slovenia (current US$)","Net bilateral aid flows from DAC donors, Sweden (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)","Net bilateral aid flows from DAC donors, United States (current US$)","Net official flows from UN agencies, FAO (current US$)","Net official flows from UN agencies, IAEA (current US$)","Net official flows from UN agencies, IFAD (current US$)","Net official flows from UN agencies, ILO (current US$)","Net official flows from UN agencies, UNAIDS (current US$)","Net official flows from UN agencies, UNICEF (current US$)","Net official flows from UN agencies, UNHCR (current US$)","Net official flows from UN agencies, UNDP (current US$)","Net official flows from UN agencies, UNECE (current US$)","Net official flows from UN agencies, UNEP (current US$)","Net official flows from UN agencies, UNFPA (current US$)","Net official flows from UN agencies, UNPBF (current US$)","Net official flows from UN agencies, UNRWA (current US$)","Net official flows from UN agencies, UNTA (current US$)","Net official flows from UN agencies, UNWTO (current US$)","Net official flows from UN agencies, WFP (current US$)","Net official flows from UN agencies, WHO (current US$)",Net official development assistance and official aid received (current US$),Net official development assistance and official aid received (constant 2021 US$),Net ODA received (% of gross capital formation),Net official development assistance received (constant 2021 US$),"Net ODA received (% of imports of goods, services and primary income)"
2016,EAP,1290610008.40366,19240000.2349168,15139999.8981506,77070002.4440885,599150006.86422,195809998.294339,4680000.11146069,1481580004.84668,22459999.7140467,-46220000.5557388,38280000.301078,319879995.502532,278639991.857111,0.0,8919999.97012317,15440000.3105402,0.0,-4619999.81664121,-103219927.936792,481510004.21308,28540000.2375245,-6099999.60847199,120259999.968112,282340005.354956,-15559999.2051721,23539999.846369,200000.001117587,0.0,81070000.0487268,6340960102.18748,1132140010.88962,0.0,4641511.16460562,88936660.7023403,19287509.9107623,6982772.14937843,64646997.7246597,13896064.2814636,34215515.431948,0.0,0.0,25012137.144804,6197989.94064331,0.0,0.0,70107.4860990047,10185232.8814566,56140615.6755984,7720130126.95313,8214610124.58801,0.140210298818456,8874520098.68622,0.237676717693654
2016,EAS,1304860008.40366,19240000.2349168,15139999.8981506,77070002.4440885,599160006.863996,195809998.294339,4680000.11146069,1481580004.84668,22459999.7140467,-46220000.5557388,38280000.301078,319879995.502532,278639991.857111,0.0,8919999.97012317,15440000.3105402,0.0,-4419999.81366098,-101029927.879572,481860004.207119,28540000.2375245,-6099999.60847199,120259999.968112,283320005.374029,-15559999.2051721,23539999.846369,200000.001117587,0.0,81070000.0487268,6358940102.26056,1132140010.88962,0.0,4641511.16460562,88936660.7023403,19287509.9107623,6982772.14937843,64646997.7246597,13896064.2814636,34215515.431948,0.0,0.0,25012137.144804,6197989.94064331,0.0,0.0,70107.4860990047,10185232.8814566,56154213.3754119,7720130126.95313,8214610124.58801,0.0987387824543792,8900540099.14398,0.116029472611209
2016,ECA,920000.001788139,125220001.414418,70800002.8207898,51960000.7329136,4577219885.46848,240489999.748766,19899999.9538064,808849995.732307,30160000.5012006,25589999.8117238,25310000.570491,240869999.76635,204969993.010163,9349999.5470047,19060000.3283471,7060000.18492341,449999.984353781,91029998.159036,525459985.107183,52449998.4644353,13370000.0569224,119240003.96207,46549999.8703599,9999.99977648258,61400000.0432134,160000.016912818,5500000.03166497,14420000.0874698,135420000.592247,8206169855.91501,668389990.091324,0.0,5503315.34305587,22906922.7874279,3315840.01146257,2090382.08890706,21167057.8718185,30144699.677825,13946158.7965488,126000.003889203,0.0,8409343.80888939,6320097.10371494,0.0,0.0,608.647591434419,10584714.204073,13062979.2958498,9732459959.98383,10493259958.2672,2.49157513311875,11088950292.5873,1.94030032454444
2016,ECS,920000.001788139,125220001.414418,70800002.8207898,51960000.7329136,4577219885.46848,240489999.748766,19899999.9538064,808849995.732307,30160000.5012006,25589999.8117238,25310000.570491,240869999.76635,204969993.010163,9349999.5470047,19060000.3283471,7060000.18492341,449999.984353781,91029998.159036,525459985.107183,52449998.4644353,13370000.0569224,119240003.96207,46549999.8703599,9999.99977648258,61400000.0432134,160000.016912818,5500000.03166497,14420000.0874698,135420000.592247,8206169855.91501,668389990.091324,0.0,5503315.34305587,22906922.7874279,3315840.01146257,2090382.08890706,21167057.8718185,30144699.677825,13946158.7965488,126000.003889203,0.0,8409343.80888939,6320097.10371494,0.0,0.0,608.647591434419,10584714.204073,13062979.2958498,9732459959.98383,10493259958.2672,0.223891928342726,11088950292.5873,0.0981979099228841
2016,LAC,7100000.05923212,28379999.9952316,79530000.5935133,349340002.834797,1030939995.71353,218170001.501217,729999.996721745,1395760006.28434,31220000.3862381,2233639884.56503,12760000.0854582,862160002.680495,331779999.570921,99999.9977648258,879999.980330467,11320000.1716614,270000.003278255,33710000.2989173,76529999.1667271,138179999.163374,24519999.6829033,13009999.9308586,204639998.886734,3510000.00908971,289999.997243285,4209999.89658594,549999.993294477,129999.997094274,114409998.746589,8980779884.19868,1772879994.01242,0.0,14284334.5031142,35914762.4708712,28799109.5045581,9181632.39018759,31571741.3425446,26072611.5703583,14013713.4788092,0.0,1297841.97360277,20118749.0969896,358806.990087032,0.0,0.0,554440.430365503,17816104.7287285,35731506.6154115,10945790217.3996,11806109993.9346,1.28297117876845,12476639847.7554,0.970190776264688
2016,LCN,7740000.04865229,29009999.9960512,79700000.5897135,353450002.908707,1091089994.13997,218750001.503155,789999.99538064,1536620004.62785,31220000.3862381,2238379884.63789,13110000.0962615,876000002.484769,345189999.239519,139999.996870756,889999.98010695,11320000.1716614,270000.003278255,34880000.2783537,78289999.216795,137829999.13767,24629999.6823072,13009999.9308586,208319998.953491,4750000.01862645,289999.997243285,4549999.89643693,549999.993294477,129999.997094274,114629998.745397,9255579880.5207,1799919993.86996,0.0,15679214.7383094,34212478.4477055,31080759.4740763,9916655.27288569,37583755.6123734,36327082.157135,15577199.5407995,0.0,1297841.97360277,21750074.6846199,358806.990087032,0.0,0.0,554440.430365503,18445315.7372773,35731506.6154115,11188710220.0389,12071740000.0095,1.10938532940064,12864329847.0974,0.814269408853729
2016,LMY,2268800048.82813,985609985.351563,1426260009.76563,2629709960.9375,16727810546.875,2771979980.46875,71340003.9672852,19495449218.75,1653770019.53125,2538409912.10938,638090026.855469,5552720214.84375,11281009765.625,159059997.558594,54750000.0,427019989.013672,47680000.3051758,2418089843.75,7043009765.625,1548479980.46875,274730010.986328,3157600097.65625,3447520019.53125,322820007.324219,148990005.493164,124430000.305176,25689998.626709,27809999.4659424,3450989990.23438,119179148618.827,28441699218.75,0.0,69958938.5986328,509628662.109375,237149810.791016,184743759.155273,1434254028.32031,492859344.482422,375289154.052734,13970700.2639771,79252265.9301758,256361267.089844,46580661.7736816,716534057.617188,0.0,13001314.163208,305725463.867188,533313171.386719,158025218750.0,167453437500.0,1.87751923747329,178111906250.0,2.47405626188786
2016,MEA,68030001.6850233,52030001.103878,118009996.220469,301569999.448955,2973739984.51233,174719998.86632,11510000.1469254,2876769991.9939,134100002.869964,63119997.9186058,53840001.0019541,1096800015.62834,1348420006.81162,979999.987408519,7160000.05975366,29849999.7723848,5849999.85806644,140729998.230934,1070439982.62286,82280000.6642938,19550000.0715256,212690000.984818,406100000.321865,4870000.11093915,12600000.3553927,14930000.0853837,769999.995827675,729999.987408519,257820002.183318,14525649976.7862,2984239993.30401,0.0,3943587.05356717,10504115.7454252,12667489.9198115,3100142.56462455,36275158.3456993,46836859.3640625,12217532.8582525,0.0,0.0,17364684.3731403,-4393693.09169706,716534053.80249,0.0,467637.062072754,64270416.893065,40202219.0988064,26468600036.6211,26552760192.8711,2.93597341499728,28077009567.2607,2.06725716368909
2016,MIC,1366040039.0625,240330001.831055,394250000.0,938669982.910156,10940509765.625,966890014.648438,36590000.1525879,6541729980.46875,332970001.220703,2208239990.23438,188270004.272461,3257570068.35938,3587580078.125,10519999.5040894,40860000.6103516,117709999.084473,2190000.05722046,310010009.765625,3616699951.17188,980450012.207031,118419998.168945,417440002.441406,788900024.414063,191630004.882813,86050003.0517578,59520000.4577637,9519999.50408936,15409999.8474121,776409973.144531,48882290100.3845,10325450195.3125,0.0,34522415.1611328,348704528.808594,54293159.4848633,39846817.0166016,443671295.166016,167453689.575195,160823669.433594,13970700.2639771,0.0,128850631.713867,26629915.2374268,680025695.800781,0.0,457910.32910347,111428627.01416,137568710.327148,65372410156.25,70251820312.5,0.803815950543315,76279218750.0,1.06867559202921
2016,MNA,68030001.6850233,52030001.103878,118009996.220469,301569999.448955,2973739984.51233,174719998.86632,11510000.1469254,2876769991.9939,134100002.869964,63119997.9186058,53840001.0019541,1096800015.62834,1348420006.81162,979999.987408519,7160000.05975366,29849999.7723848,5849999.85806644,140729998.230934,1070439982.62286,82280000.6642938,19550000.0715256,212690000.984818,406100000.321865,4870000.11093915,12600000.3553927,14930000.0853837,769999.995827675,729999.987408519,257820002.183318,14525649976.7862,2984239993.30401,0.0,3943587.05356717,10504115.7454252,12667489.9198115,3100142.56462455,36275158.3456993,46836859.3640625,12217532.8582525,0.0,0.0,17364684.3731403,-4393693.09169706,716534053.80249,0.0,467637.062072754,64270416.893065,40202219.0988064,26468600036.6211,26552760192.8711,6.72069945608795,28077009567.2607,6.62474786627555
