year,country,"Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Preprimary education, duration (years)","School enrollment, preprimary (% gross)","School enrollment, preprimary, male (% gross)","Trained teachers in preprimary education, female (% of female teachers)","Trained teachers in preprimary education, male (% of male teachers)",Trained teachers in preprimary education (% of total teachers),"Primary completion rate, total (% of relevant age group)","Primary education, duration (years)","Primary education, pupils","School enrollment, primary (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, private (% of total primary)","Persistence to last grade of primary, total (% of cohort)","Trained teachers in primary education, male (% of male teachers)",Trained teachers in primary education (% of total teachers),"Primary education, teachers","Lower secondary completion rate, female (% of relevant age group)","Lower secondary completion rate, male (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Secondary education, duration (years)","Secondary education, pupils","School enrollment, secondary (% gross)","School enrollment, secondary, private (% of total secondary)","Trained teachers in secondary education, female (% of female teachers)","Trained teachers in lower secondary education, female (% of female teachers)","Trained teachers in lower secondary education, male (% of male teachers)",Trained teachers in lower secondary education (% of total teachers),"Trained teachers in secondary education, male (% of male teachers)","Trained teachers in upper secondary education, female (% of female teachers)","Trained teachers in upper secondary education, male (% of male teachers)",Trained teachers in upper secondary education (% of total teachers),Trained teachers in secondary education (% of total teachers),"Secondary education, teachers","Secondary education, teachers, female","School enrollment, tertiary (% gross)","School enrollment, tertiary, male (% gross)","Tertiary education, academic staff (% female)","Government expenditure on education, total (% of government expenditure)","Government expenditure on education, total (% of GDP)",Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,"Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)"
2000,LAO,88.0,81.0,81.0,70.0,5.0,6.0,7.58874988555908,7.25715017318726,83.0832214355469,83.3333282470703,83.0839004516602,67.0233306884766,5.0,831521.0,106.731010437012,114.905471801758,2.0301399230957,53.4781799316406,69.5824813842773,76.6925201416016,27592.0,29.044490814209,40.3367195129395,34.7471389770508,6.0,264586.0,33.6032104492188,0.868529975414276,98.1109313964844,98.7903213500977,98.3296890258789,98.517822265625,97.2394332885742,96.5425491333008,94.952018737793,95.5652389526367,97.5891036987305,12402.0,4976.0,2.65777993202209,3.48253989219666,29.5138893127441,7.295569896698,1.50369000434875,2390.0,1301.0,1652.0,1145.0,14.7,9.2,13.9,11.7
2001,LAO,83.0,78.0,77.0,69.0,5.0,6.0,7.00504016876221,6.71436977386475,82.4678192138672,50.0,82.3815765380859,67.0535430908203,5.0,828113.0,105.038230895996,112.524032592773,2.05624008178711,62.6553688049316,68.9307327270508,76.2407379150391,27665.0,30.6693706512451,41.9762687683105,36.3845481872559,6.0,288389.0,35.6250381469727,0.829779982566833,97.1006011962891,97.9533767700195,96.8875503540039,97.3287811279297,94.9648895263672,95.2498474121094,91.2349014282227,92.7889175415039,95.8300476074219,12686.0,5139.0,3.0681300163269,3.86923003196716,24.2711391448975,9.94657039642334,1.9902800321579,2247.0,1303.0,1665.0,1154.0,13.7,8.9,13.6,11.6
2004,IDX,73.9603500366211,68.6921081542969,66.5696334838867,57.7718086242676,8.5,3.0,11.4793100357056,11.5285997390747,66.16845703125,59.1493988037109,64.4915466308594,57.6366386413574,6.0,111860096.0,90.9203262329102,96.885368347168,13.145770072937,61.3310699462891,69.5232009887695,73.0788269042969,2638439.75,31.5032806396484,37.8007011413574,34.6848106384277,6.0,41417184.0,35.0717887878418,34.315299987793,74.6808319091797,80.6431884765625,69.5496673583984,73.417106628418,61.2808990478516,62.3538398742676,49.5974006652832,53.0137786865234,65.534049987793,1727904.125,548439.25,5.65575981140137,6.79753017425537,25.4535598754883,15.9531202316284,2.91176009178162,303948.0,145904.0,202272.0,222989.0,13.0240883688252,7.12141056102856,11.2032087145765,14.4397304465154
2005,LAO,89.0,84.0,82.0,73.0,5.0,6.0,9.27451992034912,9.08712959289551,81.9009475708008,61.1111106872559,81.7655563354492,72.9880905151367,5.0,890821.0,115.79541015625,122.845596313477,2.35962009429932,62.2340202331543,78.3354873657227,83.3810424804688,28299.0,39.8410987854004,49.5601806640625,44.8306999206543,6.0,393856.0,43.8206405639648,1.5736700296402,92.2341690063477,92.4931106567383,90.0224914550781,91.0397033691406,89.4616622924805,91.7521362304688,88.2867736816406,89.813591003418,90.6299209594727,15891.0,6696.0,7.70166015625,9.05070972442627,31.1324901580811,14.1292695999146,2.4140899181366,1653.0,1266.0,1631.0,1198.0,10.2,7.9,11.8,10.8
2006,AFW,71.4178771972656,63.8351898193359,63.3079414367676,52.2236213684082,9.0,3.0,21.3405609130859,21.3649806976318,45.8150901794434,38.3613510131836,43.7102508544922,67.3274917602539,6.0,45446732.0,89.3770370483398,96.49169921875,11.6944398880005,56.1448516845703,56.3684387207031,60.328010559082,1096711.375,28.6346607208252,36.8680610656738,32.7968482971191,7.0,13788911.0,30.4047393798828,18.3520908355713,73.6201400756836,74.5707397460938,68.9408187866211,70.5600280761719,71.4929885864258,71.5666122436523,75.5877380371094,74.66015625,72.0604629516602,521615.75,139153.53125,7.23658990859985,8.96247005462646,16.1367301940918,17.9546394348145,2.55852007865906,159576.0,73076.0,80347.0,90420.0,16.8901276523394,9.10952543952381,11.6311707906565,15.0666194448189
2008,AFW,70.2773895263672,62.5066299438477,61.0705604553223,50.7298393249512,9.0,3.0,21.708610534668,21.4750003814697,48.2115898132324,45.1245193481445,47.4078102111816,61.1361618041992,6.0,45481352.0,84.2991790771484,89.8453063964844,12.5548801422119,69.918701171875,57.6101493835449,61.7508201599121,1077850.875,31.662670135498,40.4325714111328,36.0983200073242,7.0,15837088.0,33.1533699035645,20.2448501586914,49.2907409667969,62.8696517944336,56.8602981567383,58.5293006896973,54.8558311462402,29.6851100921631,52.026439666748,45.9223709106445,53.3205986022949,697857.625,192516.875,7.730299949646,9.57437992095947,14.9517803192139,18.0316905975342,2.49827003479004,160429.0,74345.0,80744.0,90854.0,15.9493237527928,8.83308346874845,11.1087652396786,14.4563459924503
2008,IDA,74.5970611572266,69.7390899658203,67.2203826904297,58.5265808105469,9.0,3.0,24.3179893493652,24.7959804534912,72.8183364868164,60.6203117370605,70.6890563964844,65.1013565063477,6.0,187431616.0,94.39453125,98.6948776245117,14.7758598327637,63.2120094299316,71.9096374511719,75.0461807250977,4582092.0,38.2920112609863,44.612850189209,41.4931602478027,6.0,76564856.0,39.0444183349609,27.1378898620605,74.6876220703125,82.4928894042969,72.0636901855469,76.4184265136719,62.3677215576172,58.4721298217773,49.0682716369629,52.0893592834473,67.0553817749023,3233719.0,1230413.125,7.43887996673584,8.70771026611328,27.0837306976318,16.1773300170898,3.2510449886322,420553.0,217853.0,281742.0,314116.0,11.0870694272829,6.49345106070883,9.47257548389891,12.1661396243806
2008,IDX,71.7282791137695,68.0243835449219,65.4613189697266,57.4542999267578,9.0,3.0,14.7893400192261,14.781439781189,64.4329223632812,50.5490112304688,61.4229507446289,64.6448287963867,6.0,132895256.0,99.3857574462891,103.417846679688,12.7601003646851,59.4545707702637,71.0452423095703,74.3194885253906,3213940.25,36.4596786499023,42.6546516418457,39.5839195251465,6.0,49934204.0,39.1138801574707,31.1459102630615,71.3285369873047,79.7688369750977,67.2326889038086,71.4955825805664,59.006950378418,55.1241302490234,46.9832496643066,49.2770385742188,62.9196815490723,2105101.5,668476.6875,7.69601011276245,9.13809967041016,26.4545307159424,16.2581405639648,3.2510449886322,292520.0,151574.0,203822.0,217890.0,11.5716094706301,6.7758441044029,10.350721320058,12.8246565968036
2008,PRE,72.5312576293945,65.6464462280273,66.0215225219727,55.7273597717285,8.0,3.0,19.1990795135498,19.2916107177734,61.6069488525391,47.4769287109375,58.6771507263184,63.8082695007324,6.0,111551144.0,95.6414031982422,101.63330078125,8.70993995666504,63.1504096984863,68.6921997070312,71.0844268798828,2712516.0,29.9563007354736,39.0685386657715,34.5328407287598,6.0,31562818.0,32.9657897949219,17.5967998504639,61.2386016845703,67.876350402832,65.202262878418,66.1042098999023,58.2143516540527,50.1736488342285,49.9351806640625,49.9985313415527,59.1407203674316,1423341.625,435988.125,6.4494800567627,7.97394990921021,18.6599197387695,15.7006101608276,2.55433988571167,288954.0,137575.0,181933.0,208302.0,13.6451064334944,7.69402872969896,11.9868725705773,16.1804980629297
2008,SSA,74.3826370239258,68.6052398681641,67.3112335205078,58.2805099487305,8.0,3.0,19.6631298065186,19.7363300323486,55.7611198425293,43.927131652832,53.3707885742188,64.0051727294922,6.0,132399912.0,96.5434494018555,101.095497131348,10.2913904190063,60.5172996520996,69.0373687744141,72.1231994628906,3022991.75,33.4745597839355,41.2132911682129,37.3628616333008,6.0,40042208.0,35.3063888549805,18.2558307647705,69.8098220825195,69.8005828857422,64.7153396606445,66.3217926025391,62.1872291564941,69.8235321044922,58.8704299926758,62.0476684570312,64.5118713378906,1667722.375,508600.6875,6.76596021652222,7.95184993743896,21.9518699645996,18.0316905975342,3.06307005882263,339136.0,164394.0,220844.0,263348.0,13.7648998954597,7.80085641070341,12.1235387036824,16.7511256549115
