year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
2011,BGD,297434389.821033,11612731.7063982,1264725163.33408,50246309.3272446,12053855504.6773,12071073184.1576,47699530000.0,37.0892339567701,433.0,2224437040.0,1.72963267769442,3.71,7.98331431812774,90.508636021614,42.2589898898135,10.9296797388713,2.78355229779506,42.4702411629772,59.8117683130297,11.3951651552399,16.3528707548834,19.06,40.18,26.01,37.29,36.76,21.06,42.51,20.32,31.74,-848910.0
2011,BRA,16067117026.88,1123817121.58,102427228231.42,7173947294.34,2549924932.93,3214602242.94,1228936230000.0,46.9748793568448,366.0,824916470000.0,31.5316211791756,116.31,19.1135004934078,233.720946264748,58.0784911048748,25.2541624176836,10.5265784637235,58.0784911048748,76.825275137052,6.6364496221309,27.6516314856354,37.53,68.08,51.02,61.1,61.99,47.15,63.83,36.34,55.86,-235860.0
2011,COL,8419825464.74,222951899.993537,14647048638.4496,2271919470.31647,4064095892.35588,4101315891.06111,201295530000.0,60.0942928506047,79.0,25946340000.0,7.74595915945753,32.51,14.8541664269339,189.373556477124,34.9314181421913,7.62142508991518,4.63778352646321,34.9599738877775,39.6524715556766,3.4150334477625,17.2127873808157,13.84,41.48,25.35,35.94,36.33,15.75,35.03,12.77,30.43,-46385.0
2011,CRI,405051998.483417,290543358.308025,2733268839.98155,8551683.57709153,487048673.310912,520219673.310912,1498420000.0,3.5040421302319,9.0,36830000.0,0.0861266344926261,51.78,22.7616703625001,193.914764736842,45.4706340602883,20.2210295486779,3.35870933113928,45.4706340602883,49.3301997156756,4.87799830970702,11.1974111795687,35.48,60.2,40.66,60.2,52.25,35.82,59.48,45.02,50.36,1695.0
2011,EGY,625500000.0,292900000.0,-482700000.0,-711300000.0,14324300000.0,14324300000.0,48849670000.0,20.6999185106848,231.0,15897550000.0,6.73654478156225,9.22,4.41874298480481,73.9616319136392,31.1549232899382,16.7618206272571,3.28531568230902,31.1549232899382,75.7939119305135,10.0649259874818,36.6044844851308,4.66,12.93,6.52,12.81,10.62,5.37,13.39,7.81,9.72,126170.0
2011,IDN,9036543464.81557,3163740018.45565,20564938226.7185,-326105110.985514,6735872884.41679,6923970511.39839,390106890000.0,43.6864935215775,440.0,105475470000.0,11.8117714784282,16.45,14.4171118214324,286.702207426787,26.8785415281316,32.9148833433735,6.05969044940622,26.9592668237629,36.7380019918479,5.3560477898215,5.13996546233263,10.97,25.29,19.21,19.97,21.62,10.19,29.38,12.82,19.58,-40543.0
2011,KEN,85989458.2885586,25857336.9057456,1450474757.0818,20122784.6643222,934149203.154614,934149203.154614,10202610000.0,21.7681345962969,58.0,917250000.0,1.9570307459026,8.99,4.96662661654739,81.968283188319,27.2306067577671,9.23141036686968,3.05887618096076,27.3659528452877,36.5694357157819,14.0224913014704,7.55935922160862,19.44,57.53,39.18,45.65,43.53,19.44,62.82,40.27,42.34,-44795.0
2011,LAC,38049689816.354,4445321875.78816,170381989378.867,2832798476.66214,57722020356.5341,59720995563.1286,1970886850000.0,39.9024464095306,933.0,958575420000.0,19.4072553307884,27.05,12.8782281510478,146.965664757006,40.0926530130934,22.9650989789331,8.16708244333016,40.0691024606551,54.3812877465128,5.1289237668161,19.9157213842648,24.02,50.08,34.91,44.21,43.97,30.19,45.7,26.16,39.39,-742619.0
2011,LCN,142324687978.631,6753421907.0756,293694504843.371,7489254374.49549,59160013804.9324,61404936550.2868,2258701050000.0,43.1390504778795,1265.0,1010285770000.0,19.2955012037177,31.0,13.5821356763789,168.819049214585,40.3373186764961,20.2210295486779,7.78168313903712,40.3880594249442,54.1735905248009,4.9777356370697,18.1145424066105,24.14,49.97,35.11,44.16,43.89,29.95,45.94,26.6,39.47,-818815.0
2011,LMY,157755916987.16,49113937233.9774,668374665687.99,14929833928.0846,272213034267.85,329969165785.201,9361552405558.95,46.0045272479698,14823.0,9514861242479.42,47.2650364303992,11.94,6.32874806670587,48.276091661885,69.9127668167323,20.3269949272424,16.4408332520572,69.9309362025529,101.16608133128,6.16077553828671,12.1256884847833,29.92,49.63,36.92,46.48,44.82,35.02,52.63,31.33,41.66,-5167290.0
