iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BGD,Asia,Bangladesh,2020-03-17,5.0,2.0,0.286,0.0,0.0,0.0,0.03,0.012,0.002,0.0,0.0,0.0,49.0,342.0,0.002,0.0,28.0,0.0,98.0,0.01,samples tested,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-18,8.0,3.0,0.714,0.0,0.0,0.0,0.049,0.018,0.004,0.0,0.0,0.0,39.0,381.0,0.002,0.0,31.0,0.0,43.4,0.023,samples tested,33.33,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-19,10.0,2.0,1.0,0.0,0.0,0.0,0.061,0.012,0.006,0.0,0.0,0.0,46.0,427.0,0.003,0.0,34.0,0.0,34.0,0.0289999999999999,samples tested,75.93,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-20,10.0,0.0,1.0,0.0,0.0,0.0,0.061,0.0,0.006,0.0,0.0,0.0,36.0,463.0,0.003,0.0,36.0,0.0,36.0,0.0279999999999999,samples tested,75.93,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-21,17.0,7.0,2.0,0.0,0.0,0.0,0.103,0.043,0.012,0.0,0.0,0.0,36.0,499.0,0.003,0.0,37.0,0.0,18.5,0.054,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-22,24.0,7.0,3.0,2.0,2.0,0.286,0.146,0.043,0.018,0.012,0.012,0.002,65.0,564.0,0.003,0.0,42.0,0.0,14.0,0.071,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-23,27.0,3.0,3.429,3.0,1.0,0.429,0.164,0.018,0.021,0.018,0.006,0.003,56.0,620.0,0.004,0.0,47.0,0.0,13.708,0.073,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-24,33.0,6.0,4.0,3.0,0.0,0.429,0.2,0.036,0.024,0.018,0.0,0.003,92.0,712.0,0.004,0.001,53.0,0.0,13.25,0.075,samples tested,81.48,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-25,39.0,6.0,4.429,4.0,1.0,0.571,0.237,0.036,0.027,0.024,0.006,0.003,82.0,794.0,0.005,0.0,59.0,0.0,13.323,0.075,samples tested,82.41,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,2020-03-26,39.0,0.0,4.143,5.0,1.0,0.714,0.237,0.0,0.025,0.03,0.006,0.004,126.0,920.0,0.006,0.001,70.0,0.0,16.897000000000002,0.059,samples tested,84.26,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
