year,country,"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Grants and other revenue (% of revenue),Taxes on goods and services (% of revenue),Taxes on international trade (% of revenue),Other taxes (% of revenue),Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Compensation of employees (% of expense),Goods and services expense (% of expense),Interest payments (% of revenue),Interest payments (% of expense),Other expense (% of expense),Subsidies and other transfers (% of expense),CPIA business regulatory environment rating (1=low to 6=high),CPIA debt policy rating (1=low to 6=high),CPIA economic management cluster average (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA quality of budgetary and financial management rating (1=low to 6=high),CPIA financial sector rating (1=low to 6=high),CPIA fiscal policy rating (1=low to 6=high),CPIA gender equality rating (1=low to 6=high),CPIA building human resources rating (1=low to 6=high),IDA resource allocation index (1=low to 6=high),CPIA macroeconomic management rating (1=low to 6=high),CPIA quality of public administration rating (1=low to 6=high),CPIA equity of public resource use rating (1=low to 6=high),CPIA property rights and rule-based governance rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),CPIA public sector management and institutions cluster average (1=low to 6=high),CPIA efficiency of revenue mobilization rating (1=low to 6=high),CPIA policies for social inclusion/equity cluster average (1=low to 6=high),CPIA structural policies cluster average (1=low to 6=high),CPIA trade rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Armed forces personnel, total",Armed forces personnel (% of total labor force),Military expenditure (current USD),Military expenditure (% of GDP),Military expenditure (% of general government expenditure),"Internally displaced persons, new displacement associated with disasters (number of cases)","Intentional homicides, female (per 100,000 female)","Intentional homicides, male (per 100,000 male)","Intentional homicides (per 100,000 people)"
2008,HND,1.46887833748512,-0.213102440429713,23.7935442287409,39.7812904552953,4.56761569168586,0.428650566743536,16.1305159842983,20.2096767024661,50.4410539331256,15.6964673925819,2.49559991490551,2.80960751295444,18.2972772509286,12.7555939104095,4.0,4.0,3.7,3.5,4.0,3.0,3.5,4.0,4.0,3.7,3.5,3.0,4.0,3.0,3.5,3.4,4.0,3.8,3.8,4.5,3.0,20000.0,0.690143984739536,132428400.639025,0.953978556250972,3.61230556116707,70000.0,7.78572825778871,101.109895455405,54.9879365971194
2008,IND,4.62388382137033,-4.97258655315357,14.080706696773,26.2640061722715,14.1393149628036,0.057900436730678,10.9771721522223,45.2283103406782,8.58899322076719,9.76388479514927,26.5385023747673,19.7338835319382,0.540128005389701,32.2919912417365,3.5,4.5,4.2,3.5,4.0,4.0,3.5,3.5,4.0,3.8,4.5,3.5,4.0,3.5,3.5,3.7,4.0,3.7,3.7,3.5,3.5,2582000.0,0.558226618759148,33002376727.3797,2.63146078124112,8.8887836430656,6662000.0,2.91728935070218,4.64659524201847,3.81185657282345
2008,LKA,6.75593933092433,-6.5685306716739,13.7030740836236,44.6347386162181,14.3097915310111,7.92986258905928,13.2773344349014,18.4332851164125,28.2140880440799,14.3089626621633,30.9513300440944,25.0746131269538,9.72690828456485,22.6754278822381,4.0,3.5,3.0,3.5,4.0,3.5,3.0,4.0,4.5,3.4,2.5,3.0,3.5,3.0,3.5,3.3,3.5,3.8,3.7,3.5,3.0,213000.0,2.58142392798191,1511363006.99688,3.24360178402603,16.4404414053479,525000.0,3.36758427066037,16.6597284726299,9.86904900843047
2008,MDA,-0.471695114586313,-0.405899367470837,14.1033678893736,50.3028804549388,5.07744202885753,0.0821221058580436,20.4459489526716,1.33867862882574,14.2751863003205,19.4760803479222,3.18598449393356,3.4986157777099,5.59022171798713,57.1598958560603,3.5,4.0,4.0,3.5,4.0,3.5,4.0,5.0,4.0,3.8,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.9,3.8,4.5,3.0,8000.0,0.571063091050299,36845650.5003849,0.6085356171256,1.46643177205009,200.0,4.54237222144713,8.01519681315775,6.19029058168272
2009,HND,5.89037171564135,-4.4582236763339,23.078014716557,39.6375668582222,3.36856150630209,0.272734242338729,14.1619701907107,20.3943880688556,53.8310009804796,16.7224781850986,2.89510986851012,2.72759266146408,18.9582942729544,7.76063236320159,3.5,4.0,3.5,3.5,4.0,3.0,3.5,4.0,3.5,3.54166666666667,3.0,2.5,4.0,3.0,3.5,3.3,4.0,3.7,3.66666666666667,4.5,3.0,20000.0,0.65502469443098,156802557.276754,1.07491069621038,3.79136488111995,2200.0,8.89951866521194,117.415559794775,63.7888974095123
2009,IND,6.20887147887582,-5.51353416873553,14.1826314052394,23.7764019046758,11.4110733590522,0.0694327467841135,9.80972540638804,50.2709520503202,10.6340063009153,8.99809854035009,28.4629068902757,19.3722386891113,0.872807262830192,34.2519993288966,3.5,4.0,4.0,3.5,4.0,4.0,3.5,3.5,4.0,3.76666666666667,4.5,3.5,4.0,3.5,3.5,3.7,4.0,3.7,3.66666666666667,3.5,3.5,2625586.0,0.564688669954581,38722154392.1843,3.12938472737472,10.3147347654176,5304000.0,3.02227130923788,4.41939260665938,3.74489180043947
2009,LKA,9.87594753823605,-8.92080376514929,13.1577278979445,37.5407612815374,18.9176449833647,9.6107039194229,12.8003204769597,19.234363241938,26.7642325199995,10.7067192552603,42.6806107232147,30.5580910222113,10.8585841142845,21.1123730882444,4.0,3.5,3.16666666666667,3.5,4.0,3.5,3.0,4.0,4.5,3.50833333333333,3.0,3.0,3.5,3.5,3.5,3.4,3.5,3.8,3.66666666666667,3.5,3.0,223100.0,2.69586856631752,1522232372.004,3.16189871004304,14.5576697478223,363000.0,1.93534452493179,8.9659282717733,5.3655621184284
2009,MNG,12.6406540942989,-4.09219219473319,26.0583886241372,30.157853850021,6.10019662889937,0.461768329929847,16.5402944034255,20.6129984489414,33.2358749894449,19.6151498446671,1.55790678003834,1.69869728976682,0.893747899095479,44.5565299770255,3.5,3.0,3.16666666666667,3.0,4.0,2.0,3.0,3.5,4.0,3.35,3.5,3.5,3.5,3.0,3.5,3.4,3.5,3.5,3.33333333333333,4.5,3.0,17200.0,1.51095486198042,37633746.0008346,0.629698225139809,2.31571964752657,22000.0,4.40777112461666,12.0466733299829,8.21235885008226
2010,AZE,0.125279642058166,15.4463675968445,68.4614611091558,13.5532203730705,1.45708683191714,0.758710845190809,12.1577769928176,10.1890492231887,17.908275511931,9.73881649461274,0.198602242445573,0.445647881762284,36.4810740678062,35.4261860438879,4.0,4.5,4.33333333333333,3.0,3.5,3.0,4.5,4.0,4.0,3.68333333333333,4.0,3.0,4.0,3.0,4.0,3.1,3.5,3.8,3.5,3.5,2.5,81940.0,1.91391001960158,1476608733.57005,2.79100435652891,8.7333284208975,32000.0,1.31612981837515,3.18132140161068,2.23011241769356
2010,HND,2.93086555000902,-2.98333366746189,20.9692220918002,40.6807268403482,3.81880821353984,1.12776109391911,14.4250984008607,20.1851400173783,55.6664355714319,13.9973208620244,3.89426668089453,3.75226199149256,20.0366912646001,6.54729031045099,3.5,4.0,3.66666666666667,3.5,3.5,3.0,3.5,4.0,4.0,3.58333333333333,3.5,3.0,4.0,3.0,3.0,3.3,4.0,3.7,3.66666666666667,4.5,3.0,20000.0,0.623469382665556,170186979.693148,1.07445720815541,4.06017600787869,8000.0,9.21447426317116,136.878392409851,73.7906733961016
