year,country,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents",High-technology exports (current US$),High-technology exports (% of manufactured exports)
2007,ARG,1174682409.95912,96694187.4534156,0.460070013999939,5682.94,4806.0,937.0,1202089048.0,6.9617231501078
2007,AUT,1800773475.51255,944971637.63104,2.41843008995056,9930.95,287.0,2385.0,16729535708.0,12.9840241123201
2007,AZE,4697000.0,22000.0,0.170059993863106,416.03,8.0,287.0,16910471.0,4.30956921856524
2007,BEL,1997290657.25184,1678612578.17073,1.84999001026154,13622.59,163.0,454.0,28348121217.0,8.4658386362656
2007,BGR,77561078.1707785,10864074.8096957,0.430029988288879,2469.59,28.0,211.0,648369137.0,6.29350558114199
2007,BRA,2259433000.0,319410000.0,1.08138000965118,31153.54,17469.0,4194.0,9550426879.0,12.6278356939529
2007,CAN,8162785541.73677,3835550664.31666,1.90357995033264,51979.5,35133.0,4998.0,30533466009.0,14.7696951856267
2007,CHL,479316760.44598,30838614.89,0.311430007219315,3293.8,3403.0,403.0,650978627.0,7.82187491104015
2007,CHN,8192067402.3259,342634074.968637,1.37369000911713,213648.18,92101.0,153060.0,343558973511.0,30.2374939097036
2007,COL,347620984.375,32690171.875,0.183070003986359,1562.09,1862.0,128.0,360296277.0,3.06529982090687
2007,CYP,55607286.9203491,21076128.581435,0.400070011615753,433.39,16.0,3.0,96699999.0,31.2956562000927
2007,CZE,694050965.821559,35915035.2624841,1.29571998119354,10022.53,192.0,716.0,16672750044.0,15.2861658593061
2007,DEU,7499376290.76761,6307875661.91759,2.4604799747467,90199.02,13139.0,47853.0,169568705000.0,15.4623925898068
2007,DNK,885829978.054193,1731557199.71218,2.51540994644165,9044.64,197.0,1660.0,12073064150.0,18.2573624878991
2007,ECS,116371443153.054,90234760886.3942,1.66070457785227,601404.255140224,123606.0,219661.0,679494500223.0,15.7544863249493
2007,FIN,1441329702.60002,1287728502.37902,3.33703994750977,9450.35,211.0,1804.0,15796307016.0,21.7677559554834
2007,FRA,7672468332.61224,13466689886.0114,2.0245099067688,63765.35,2387.0,14722.0,85956078923.0,20.1428349498868
2007,GBR,9195760810.16899,18448142321.5872,1.61829996109009,92537.3,7624.0,17375.0,68910890387.0,20.8808205935258
2007,GRC,600153525.970492,52293992.1759383,0.576550006866455,11128.2,20.0,575.0,1121470129.0,9.11446817127941
2007,GTM,72100000.0,10800000.0,0.0678199976682663,32.06,99.0,9.0,125891929.0,3.67626348540955
2007,HRV,213320601.184826,39699092.2890887,0.782989978790283,3505.63,93.0,344.0,803499581.0,9.50048664769553
2007,HUN,1752222005.14621,919784068.09372,0.954450011253357,5890.22,102.0,689.0,20016939000.0,26.0916621380543
2007,ISR,912800000.0,785800000.0,4.29998016357422,11256.78,6394.0,1615.0,3122027000.0,7.62716744231259
2007,ITA,8008964320.60477,4285997614.69987,1.12899005413055,54347.87,870.0,9255.0,27823962961.0,6.73296300131478
2007,JPN,16677754114.4857,23228568012.543,3.29257011413574,109140.33,62793.0,333498.0,128611660344.0,20.0653051826321
2007,KOR,5334400000.0,1826800000.0,2.87258005142212,41317.08,43768.0,128701.0,107199622808.0,32.4282584168837
2007,LTU,21619427.8347315,163802.417780706,0.801739990711212,1701.79,20.0,62.0,1277430699.0,11.6013589276761
2007,LUX,306464038.175194,92306291.6393863,1.57165002822876,220.51,25.0,15.0,1411416358.0,10.7100084670999
2007,MDG,56253427.4945555,2148837.24059249,0.120909996330738,109.04,67.0,9.0,9295683.0,1.46962586684876
2007,MKD,19319106.0,4642698.0,0.170929998159409,259.48,13.0,105.0,23250278.0,0.898168600107594
2007,MLT,124958760.45615,298828991.427458,0.545400023460388,107.77,29.0,10.0,1491152030.0,53.0192892459336
